display_name,unit_price,unit_size,size_format
Ñoras Hacendado,1.56,0.025,kg
Clavo en grano Hacendado,1.75,0.042,kg
Piñones Hacendado,3.02,0.07,kg
Sazonador para fajitas Hacendado sabor tex-mex,0.85,0.017,kg
Sazonador ajo y limón Hacendado para carne y pescado,1.05,0.03,kg
Sazonador hierbas provenzales Hacendado para pollo y costillas,1.00,0.024,kg
Sazonador barbacoa Hacendado para pollo y costillas,1.30,0.057,kg
Sazonador para paella con azafrán Hacendado,1.50,0.02,kg
Sazonador para burritos Hacendado,1.30,0.04,kg
Sazonador pollo y carne Hacendado,1.40,0.076,kg
Sazonador pasta Hacendado,1.60,0.045,kg
Mezcla de especias para gazpacho manchego Hacendado,2.50,0.01,kg
Mayonesa Hacendado,1.20,0.5,l
Mayonesa Hacendado,1.00,0.24,l
Mayonesa Hacendado,1.40,0.49,l
Mayonesa en sobres individuales Hacendado,1.30,0.24,l
Mayonesa Hellmann's,2.95,0.45,l
Salsa Original Ligeresa,2.00,0.425,l
Salsa Original Ligeresa,2.65,0.43,l
Mayonesa Musa,2.45,0.54,l
Salsa Light Hacendado,1.20,0.5,l
Salsa Light Hacendado,1.40,0.49,l
Ketchup Hacendado,1.15,0.6,kg
Ketchup en sobres individuales Hacendado,1.40,0.24,kg
Ketchup Heinz,3.50,0.65,kg
Salsa de tomate Zero sin azúcares añadidos Hacendado,1.60,0.6,kg
Mostaza a la antigua Hacendado,1.70,0.2,kg
Mostaza de Dijon Hacendado,1.25,0.2,kg
Mostaza clásica Hacendado,1.35,0.388,kg
Allioli Chovi,1.45,0.18,l
Allioli Hacendado,1.10,0.2,l
Allioli en sobres individuales Hacendado,1.50,0.16,l
Tomate frito Hacendado,1.35,1.2,kg
Tomate frito Hacendado,0.95,0.63,kg
Tomate frito Hacendado,0.90,0.56,kg
Tomate frito receta artesana Hacendado,2.00,0.56,kg
Tomate frito receta artesana Hacendado,1.50,0.3,kg
Tomate frito Hida,1.75,0.4,kg
Tomate frito estilo casero Hacendado,1.20,0.38,kg
Tomate frito Hacendado con aceite de oliva,1.40,0.63,kg
Tomate frito sin azúcares añadidos Hacendado,1.10,0.56,kg
Salsa Barbacoa Hacendado,1.15,0.35,kg
Salsa pimienta verde Hacendado,1.25,0.05,kg
Salsa Burger Hacendado,1.35,0.25,l
Salsa Piri Piri Hacendado,1.00,0.195,l
Salsa curry Tikka Masala Hacendado picante,2.00,0.18,kg
Salsa Pesto con albahaca Hacendado,1.95,0.19,kg
Salsa de tomate Boloñesa Hacendado,1.90,0.4,kg
Salsa de tomate con Albahaca Hacendado,1.75,0.4,kg
Salsa fresca Trufa Hacendado,1.45,0.14,kg
Salsa fresca Queso Hacendado,1.45,0.18,kg
Salsa fresca Pesto con albahaca Hacendado,2.00,0.15,kg
Salsa fresca Setas Hacendado,1.65,0.2,kg
Salsa fresca Carbonara Hacendado,1.65,0.2,kg
Salsa de Soja Hacendado,1.25,0.25,l
Salsa Teriyaki Hacendado,1.65,0.25,l
Salsa Thai Chili dulce J-Lek,1.55,0.25,l
Salsa de Soja sin gluten Hacendado,2.50,0.25,l
Guacamole Hacendado,3.95,0.5,kg
Guacamole Hacendado,1.80,0.2,kg
Salsa Yogur Hacendado,1.20,0.31,l
Salsa Mexicana Hacendado,1.25,0.3,kg
Salsa Ranch Hacendado,1.35,0.25,l
Salsa César Hacendado,1.40,0.31,l
Aliño de aceite con perejil y ajo Hacendado,1.75,0.15,l
Salsa Miel y Mostaza Hacendado,1.45,0.34,kg
Salsa de Trufa,3.10,0.08,kg
Salsa Gajo Rústica Hacendado,1.35,0.25,l
Salsa de Queso Hacendado,1.65,0.28,l
Chili con carne Hacendado,2.80,0.42,kg
Salsa Cocktail Hacendado,1.40,0.49,l
Carne de pimiento choricero Hacendado,1.55,0.14,kg
Pasta de sésamo Tahini Hacendado,2.95,0.2,kg
Salsa Bechamel Knorr,2.55,0.6,l
Agua mineral grande Bronchales,1.28,6.0,l
Agua mineral grande Bronchales,2.34,9.0,l
Agua mineral grande Bronchales,0.39,1.5,l
Agua mineral mediana Bronchales,3.00,6.0,l
Agua mineral mediana Bronchales,0.50,1.0,l
Agua mineral pequeña Bronchales,1.74,3.0,l
Agua mineral pequeña Bronchales,0.29,0.5,l
Agua mineral pequeña Bronchales tapón infantil,2.40,1.98,l
Agua mineral pequeña Bronchales tapón infantil,0.40,0.33,l
Agua mineral grande Cortes,0.92,8.0,l
Agua mineral grande Cortes,0.79,6.0,l
Agua mineral grande Cortes,1.50,9.0,l
Agua mineral grande Cortes,0.25,1.5,l
Agua mineral mediana Cortes,2.40,6.0,l
Agua mineral mediana Cortes,0.40,1.0,l
Agua mineral pequeña Cortes,1.44,3.0,l
Agua mineral pequeña Cortes,0.24,0.5,l
Agua mineral pequeña Cortes tapón infantil,1.56,1.98,l
Agua mineral pequeña Cortes tapón infantil,0.26,0.33,l
Agua mineral grande Bezoya,4.14,9.0,l
Agua mineral grande Bezoya,0.69,1.5,l
Agua mineral grande Nestlé Aquarel,3.72,9.0,l
Agua mineral grande Nestlé Aquarel,0.62,1.5,l
Agua mineral grande Font Vella,4.32,9.0,l
Agua mineral grande Font Vella,0.75,1.5,l
Agua mineral grande Solán de Cabras,4.98,9.0,l
Agua mineral grande Solán de Cabras,0.83,1.5,l
Agua mineral grande Lanjarón,3.78,9.0,l
Agua mineral grande Lanjarón,0.66,1.5,l
Agua de coco Hacendado 100% natural,2.60,1.0,l
Agua mineral con gas grande Vichy Catalan,1.49,1.0,l
Agua mineral con gas pequeña Vichy Catalan,5.89,1.8,l
Agua mineral con gas grande Cortes,2.58,9.0,l
Agua mineral con gas grande Cortes,0.43,1.5,l
Agua mineral con gas pequeña Cortes,1.74,3.0,l
Agua mineral con gas pequeña Cortes,0.29,0.5,l
Agua mineral con gas grande San Pellegrino,8.34,6.0,l
Agua mineral con gas grande San Pellegrino,1.39,1.0,l
Agua de soda con sifón La Casa,1.60,1.5,l
Agua mineral con gas grande Fonter,6.84,6.0,l
Agua mineral con gas grande Fonter,1.14,1.0,l
Gaseosa Hacendado grande,0.55,1.5,l
Gaseosa Hacendado pequeña,2.04,3.0,l
Gaseosa Hacendado pequeña,0.34,0.5,l
Gaseosa La Casera grande,1.88,3.0,l
Gaseosa La Casera grande,1.25,1.5,l
Bebida isotónica limón Aquarius,1.99,1.5,l
Bebida isotónica limón Aquarius,6.56,2.64,l
Bebida isotónica limón Aquarius,0.85,0.33,l
Bebida isotónica sabor cítrico Iso drink,1.00,1.5,l
Bebida isotónica sabor cítrico Iso drink,2.70,1.98,l
Bebida isotónica sabor cítrico Iso drink,0.45,0.33,l
Bebida isotónica naranja Aquarius,1.99,1.5,l
Bebida isotónica naranja Aquarius,6.56,2.64,l
Bebida isotónica naranja Aquarius,0.85,0.33,l
Bebida isotónica limón Aquarius zero azúcar,1.99,1.5,l
Bebida isotónica de naranja Iso drink,1.00,1.5,l
Bebida isotónica de naranja Iso drink,2.70,1.98,l
Bebida isotónica de naranja Iso drink,0.45,0.33,l
Bebida isotónica Iso On blue Hacendado,1.55,1.5,l
Bebida isotónica Iso On blue Hacendado,0.70,0.5,l
Bebida isotónica sabor cítrico Iso drink zero,0.90,1.5,l
Bebida energética Energy Drink Zero Hacendado,2.40,1.5,l
Bebida energética Zero Hacendado,0.40,0.25,l
Bebida energética Energy Ultra zero Monster,6.68,2.0,l
Bebida energética Energy Ultra zero Monster,1.79,0.5,l
Bebida energética energy Monster,6.68,2.0,l
Bebida energética Energy Monster,1.79,0.5,l
Bebida energética Energy Drink Hacendado,1.60,1.5,l
Bebida energética Energy Drink Hacendado,2.40,1.5,l
Bebida energética Energy Drink Hacendado,0.40,0.25,l
Bebida energética Red Bull,6.00,1.5,l
Bebida energética Red Bull,1.59,0.25,l
Bebida energética original Burn,3.32,2.0,l
Bebida energética original Burn,1.00,0.5,l
Gel energético con cafeína Enervit Sport sabor cítricos,3.75,0.096,kg
Bebida energética Mango Loco Monster,6.68,2.0,l
Bebida energética Mango Loco Monster,1.79,0.5,l
Bebida energética Furious Energy drink,1.00,0.5,l
Bebida energética Tropic Energy drink,1.00,0.5,l
Malta Maltín Polar,6.50,1.5,l
Malta Maltín Polar,1.15,0.25,l
Bebida energética zero Watermelon Energy drink,1.00,0.5,l
Bebida energética Zero Furious Energy drink,1.00,0.5,l
Bebida energética Zero Katrine Energy drink,1.00,0.5,l
Refresco Coca-Cola,3.90,4.0,l
Refresco Coca-Cola,1.99,2.0,l
Refresco Coca-Cola,2.90,2.5,l
Refresco Coca-Cola,1.49,1.25,l
Refresco Coca-Cola,5.40,2.0,l
Refresco Coca-Cola,1.49,0.5,l
Refresco Coca-Cola,9.96,3.96,l
Refresco Coca-Cola,0.92,0.33,l
Refresco cola Hacendado,0.75,2.0,l
Refresco cola Hacendado,1.98,1.98,l
Refresco cola Hacendado,0.33,0.33,l
Refresco Coca-Cola Zero azúcar,9.96,3.96,l
Refresco Coca-Cola Zero azúcar,0.92,0.33,l
Refresco Coca-Cola Zero azúcar,3.90,4.0,l
Refresco Coca-Cola Zero azúcar,1.99,2.0,l
Refresco Coca-Cola Zero azúcar,2.90,2.5,l
Refresco Coca-Cola Zero azúcar,1.49,1.25,l
Refresco Coca-Cola Zero azúcar,5.40,2.0,l
Refresco Coca-Cola Zero azúcar,1.49,0.5,l
Refresco Coca-Cola light,7.47,2.97,l
Refresco Coca-Cola light,0.92,0.33,l
Refresco Coca-Cola Zero Zero,9.96,3.96,l
Refresco Coca-Cola Zero Zero,0.92,0.33,l
Refresco Coca-Cola Zero Zero,3.90,4.0,l
Refresco Coca-Cola Zero Zero,1.99,2.0,l
Refresco cola Hacendado Zero azúcar,0.75,2.0,l
Refresco cola Hacendado Zero azúcar,1.98,1.98,l
Refresco cola Hacendado Zero azúcar,0.33,0.33,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.75,2.0,l
Refresco cola Hacendado Zero azúcar Zero cafeína,1.98,1.98,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.33,0.33,l
Refresco Coca-Cola Zero Zero,9.96,3.96,l
Refresco Coca-Cola Zero Zero,0.92,0.33,l
Refresco Coca-Cola Zero Zero,3.90,4.0,l
Refresco Coca-Cola Zero Zero,1.99,2.0,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.75,2.0,l
Refresco cola Hacendado Zero azúcar Zero cafeína,1.98,1.98,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.33,0.33,l
Refresco Fanta limón,1.85,2.0,l
Refresco Fanta limón,6.93,2.97,l
Refresco Fanta limón,0.80,0.33,l
Refresco Fanta limón zero azúcares añadidos,5.44,2.64,l
Refresco Fanta limón zero azúcares añadidos,0.75,0.33,l
Refresco de limón Hacendado fresh gas,0.95,2.0,l
Refresco de limón Hacendado fresh gas,2.22,1.98,l
Refresco de limón Hacendado fresh gas,0.37,0.33,l
Refresco de limón Hacendado zero azúcar fresh gas,0.95,2.0,l
Refresco de limón Hacendado zero azúcar fresh gas,2.22,1.98,l
Refresco de limón Hacendado zero azúcar fresh gas,0.37,0.33,l
Refresco limón Schweppes original,5.20,2.64,l
Refresco limón Schweppes original,0.97,0.33,l
Refresco lima limón Sprite,1.65,2.0,l
Refresco lima limón Sprite,4.88,2.64,l
Refresco lima limón Sprite,0.65,0.33,l
Refresco lima limón Hacendado fresh gas,0.95,2.0,l
Refresco lima limón Hacendado fresh gas,2.22,1.98,l
Refresco lima limón Hacendado fresh gas,0.37,0.33,l
Refresco lima limón Hacendado zero azúcar fresh gas,0.95,2.0,l
Refresco Fanta naranja,3.60,4.0,l
Refresco Fanta naranja,1.85,2.0,l
Refresco Fanta naranja,6.93,2.97,l
Refresco Fanta naranja,0.80,0.33,l
Refresco Fanta naranja zero azúcares añadidos,1.65,2.0,l
Refresco Fanta naranja zero azúcares añadidos,5.44,2.64,l
Refresco Fanta naranja zero azúcares añadidos,0.75,0.33,l
Refresco de naranja Hacendado fresh gas,0.95,2.0,l
Refresco de naranja Hacendado fresh gas,2.22,1.98,l
Refresco de naranja Hacendado fresh gas,0.37,0.33,l
Refresco de naranja Hacendado zero fresh gas,0.90,2.0,l
Refresco de naranja Hacendado zero fresh gas,2.22,1.98,l
Refresco de naranja Hacendado zero fresh gas,0.37,0.33,l
Tónica original Schweppes,5.20,2.64,l
Tónica original Schweppes,0.99,0.33,l
Tónica original Schweppes,1.93,1.0,l
Tónica original Schweppes,5.40,1.2,l
Tónica original Schweppes,0.99,0.2,l
Tónica Hacendado,2.22,1.98,l
Tónica Hacendado,0.37,0.33,l
Tónica zero calorías Schweppes,5.20,2.64,l
Tónica zero calorías Schweppes,0.99,0.33,l
Bitter Kas sin alcohol,0.99,0.33,l
Refresco té verde Hacendado,1.00,1.5,l
Refresco té sabor limón Hacendado,1.00,1.5,l
Refresco té sabor melocotón Hacendado zero,1.00,1.5,l
Refresco té sabor melocotón Hacendado,1.00,1.5,l
Refresco té sabor limón Hacendado para diluir,1.50,0.036,kg
Refresco té sabor melocotón Hacendado para diluir,1.50,0.036,kg
Refresco té sabor mango Hacendado zero,1.00,1.5,l
Refresco té sabor limón Hacendado,3.00,1.98,l
Refresco té sabor limón Hacendado,0.50,0.33,l
Refresco té sabor limón Hacendado zero,1.00,1.5,l
Refresco té sabor limón Fuze Tea,1.99,1.5,l
Refresco té sabor limón Fuze Tea,6.80,2.64,l
Refresco té sabor limón Fuze Tea,0.99,0.33,l
Refresco té verde sabor maracuyá y mango Hacendado zero,1.00,1.5,l
Limonada natural Don Simón light sin gas,1.10,1.5,l
Refresco de naranja Simon Life sin gas,1.70,1.5,l
Refresco de naranja Hacendado sin gas,1.10,1.5,l
Refresco de naranja sin gas,1.56,1.32,l
Refresco fusión de frutas Hacendado cero sin gas,1.10,1.5,l
Bebida Florida Sunny Delight,1.50,1.25,l
Refresco piña-coco Hacendado cero sin gas,1.10,1.5,l
Agua de coco Hacendado 100% natural,2.60,1.0,l
Refresco Tropical Hacendado sin gas,1.20,1.5,l
Limonada Hacendado light sin gas,1.56,1.32,l
Refresco Cherry Up Hacendado sin gas,1.10,1.5,l
Refresco Berry Lime Hacendado sin gas,1.10,1.5,l
Aceitunas verdes rellenas de anchoa Hacendado,3.15,1.05,kg
Aceitunas verdes rellenas de anchoa Hacendado,1.75,0.36,kg
Aceitunas verdes rellenas de anchoa Hacendado,1.05,0.35,kg
Aceitunas verdes sin hueso Hacendado,2.80,0.835,kg
Aceitunas verdes rellenas de anchoa Hacendado reducidas en sal,1.95,0.36,kg
Aceitunas verdes Chupadedos Huerta de Barros partidas aliñadas,3.40,0.98,kg
Aceitunas verdes Gazpacha Hacendado partidas,2.50,0.835,kg
Aceitunas verdes rellenas de anchoa Hacendado,1.65,0.35,kg
Aceitunas verdes rellenas de anchoa Hacendado,4.20,1.46,kg
Aceitunas verdes sin hueso Hacendado,1.70,0.525,kg
Aceitunas verdes estilo casero Hacendado partidas aliñadas,2.95,0.935,kg
Aceitunas verdes sin hueso aliñadas Hacendado,1.90,0.42,kg
Aceitunas verdes rellenas de jalapeño Hacendado,1.75,0.35,kg
Aceitunas verdes rellenas de pimiento asado Hacendado,1.75,0.35,kg
Aceitunas verdes con hueso Hacendado sabor anchoa,2.95,0.935,kg
Aceitunas verdes con hueso Hacendado,1.50,0.43,kg
Aceitunas verdes partidas Olives Garcia,3.90,0.815,kg
Aceitunas verdes Picadedos sin hueso Hacendado aliñadas,3.50,0.71,kg
Aceitunas verdes rellenas de pepinillo Hacendado,2.95,0.315,kg
Aceitunas negras sin hueso Hacendado,1.05,0.35,kg
Aceitunas negras sin hueso Hacendado,3.00,0.35,kg
Aceitunas negras de Aragón Campo Nature,2.50,0.2,kg
Aceitunas negras en rodajas Hacendado,2.00,0.148,kg
Banderillas picantes Hacendado,1.70,0.345,kg
Banderillas dulces Hacendado,1.70,0.345,kg
Mix de encurtidos Hacendado,2.65,0.67,kg
"Banderillas Gildas Hacendado pinchos de aceituna, anchoa y guindilla",2.30,0.125,kg
Pepinillos pequeños Hacendado,1.50,0.42,kg
Altramuces Hacendado,1.75,0.69,kg
Alcaparras Hacendado,1.35,0.135,kg
Cebolla roja Olives García en vinagre,3.15,0.72,kg
Picadillo de variantes Hacendado,2.10,0.42,kg
Pepinillos agridulces laminados Hacendado,1.95,0.53,kg
Cebollitas Hacendado,1.60,0.35,kg
Guindillas picantes Hacendado,1.55,0.29,kg
Ajos aliñados Hacendado,2.60,0.345,kg
Alcaparrones en vinagre Hacendado,2.95,0.36,kg
Berenjenas de Almagro aliñada Antonio,3.89,0.8,kg
Jalapeños picantes en vinagre Hacendado,1.65,0.135,kg
Mix de pepinillos y cebollitas Hacendado,1.90,0.67,kg
Piparra Hacendado,2.80,0.29,kg
Pepinillos agridulces Hacendado,1.55,0.67,kg
Pepinillos agridulces Hacendado,1.75,0.425,kg
Pepinillos en vinagre Hacendado,1.50,0.42,kg
Nuez natural Hacendado pelada,2.70,0.2,kg
Almendra natural Hacendado,2.30,0.2,kg
Pistacho tostado Hacendado con sal,3.55,0.25,kg
Pipas girasol tostadas Hacendado gigante con sal,1.20,0.2,kg
Pistacho tostado Hacendado 0% sal añadida,3.55,0.25,kg
Cacahuete frito con sal Hacendado pelado,1.00,0.25,kg
Pipas girasol tostadas Hacendado gigante aguasal,1.20,0.2,kg
Anacardo natural Hacendado,2.70,0.2,kg
Palomitas de maíz con sal Hacendado para microondas,1.00,0.27,kg
Anacardo frito salado Hacendado,2.70,0.2,kg
Avellana tostada Hacendado 0% sal añadida,3.00,0.2,kg
Almendra tostada y salada Hacendado con piel,2.20,0.2,kg
Cacahuete frito y salado Hacendado con piel,1.30,0.25,kg
Maíz frito crujiente y tierno Hacendado,1.00,0.17,kg
Almendra frita y salada Hacendado pelada,2.75,0.2,kg
Cacahuete tostado Hacendado 0% sal añadida,1.55,0.4,kg
Almendra tostada Hacendado 0% sal añadida con piel,2.85,0.2,kg
Maíz palomitas Hacendado,0.86,0.25,kg
Maíz frito gigante Hacendado,1.40,0.15,kg
Nuez macadamia Hacendado tostada con sal,2.90,0.1,kg
Mezcla semillas Hacendado,1.46,0.2,kg
Pipas de calabaza natural Hacendado peladas,1.69,0.15,kg
Castañas cocidas y peladas Hacendado,1.40,0.1,kg
Cacahuete frito con miel Hacendado,1.65,0.2,kg
Cacahuete tostado con sal Hacendado,1.55,0.4,kg
Semillas de chía Hacendado,1.36,0.15,kg
Pipas de girasol fritas Hacendado peladas,1.10,0.2,kg
Almendra marcona Hacendado frita con sal,2.95,0.125,kg
Palomitas de maíz sabor mantequilla Hacendado para microondas,1.20,0.27,kg
Almendra natural Hacendado sin piel,2.65,0.2,kg
Avellana natural Hacendado,2.92,0.2,kg
Semillas sésamo tostado Hacendado,1.50,0.15,kg
Pipas girasol barbacoa Hacendado,1.35,0.2,kg
Pipas girasol naturales Hacendado peladas,1.24,0.2,kg
Semillas lino dorado Hacendado,1.19,0.15,kg
Nuez natural Hacendado,3.90,0.6,kg
Pipas calabaza tostadas Hacendado aguasal,1.55,0.125,kg
Pipas girasol tostadas Hacendado 0% sal añadida,1.30,0.2,kg
Nuez de Brasil natural Hacendado,4.95,0.2,kg
Pistacho natural Hacendado pelado,2.74,0.1,kg
Nuez Pecana natural Hacendado pelada,3.90,0.2,kg
Palomitas de maíz dulces Hacendado para microondas,1.60,0.315,kg
Cacahuete tostado Hacendado pelado 0% sal añadida,1.15,0.2,kg
Cacahuete +Proteínas en polvo desgrasado Hacendado 14 g proteínas 70% reducido en grasa,2.75,0.2,kg
Nuez troceada pelada Hacendado,1.90,0.15,kg
Cocktail mezcla Hacendado,1.60,0.3,kg
"Combinado frutos secos, frutas desecadas y semillas de calabaza Hacendado",2.60,0.2,kg
Cocktail crunchy sabores Hacendado,1.75,0.2,kg
Cocktail rodeo Hacendado,1.75,0.3,kg
Cocktail natural Hacendado,2.80,0.2,kg
Cocktail tostado 0% sal añadida Hacendado,2.80,0.2,kg
Cocktail tostado y ahumado Hacendado,2.80,0.2,kg
Cocktail fruta deshidratada Hacendado,1.60,0.2,kg
Cocktail rumba Hacendado,1.60,0.3,kg
Pasas sultanas sin semillas Hacendado,1.80,0.25,kg
Pasas moscatel sin semillas Hacendado,2.20,0.25,kg
Mango deshidratado Hacendado,1.41,0.06,kg
Ciruelas desecadas sin hueso Hacendado,2.14,0.25,kg
Dátiles desecados sin hueso Hacendado,2.25,0.35,kg
Arándanos deshidratados Hacendado,2.30,0.2,kg
Piña deshidratada Hacendado,1.35,0.05,kg
Orejones albaricoque Hacendado,2.45,0.2,kg
Dátiles en rama Hacendado,3.45,0.4,kg
Dátiles Medjoul con hueso Hacendado,4.01,0.215,kg
Patatas fritas extra crujientes Hacendado,1.35,0.15,kg
Patatas fritas clásicas Hacendado,1.90,0.3,kg
Patatas fritas onduladas Hacendado sabor jamón serrano,1.20,0.15,kg
Patatas fritas corte ondulado Hacendado,1.10,0.15,kg
Patatas light Hacendado,1.30,0.15,kg
Aperitivo de patata sabor original Pringles,1.99,0.165,kg
Aperitivo de patata sabor crema agria y cebolla Pringles,1.99,0.165,kg
Patatas fritas sabor campestre Hacendado,1.20,0.15,kg
Patatas fritas sabor sal y vinagre Hacendado,1.20,0.15,kg
Patatas fritas sabor chili y lima Hacendado,1.20,0.15,kg
Patatas fritas al punto de sal Lay's,1.99,0.195,kg
Patatas fritas onduladas Munchos sabor queso,1.20,0.13,kg
Patatas fritas 0% sal añadida Hacendado,1.50,0.13,kg
Patatas fritas barbacoa Hacendado,1.20,0.15,kg
Nachos Hacendado,0.90,0.15,kg
Pandilla sabor queso Cheetos,1.89,0.075,kg
Tiras de maíz frito sabor barbacoa Hacendado,0.80,0.15,kg
Pelotazos sabor queso Cheetos,1.89,0.13,kg
Nachos tex-mex Hacendado sabor queso,0.90,0.15,kg
Garfitos de maíz sabor queso Hacendado,0.70,0.08,kg
Cuquitos sabor queso Hacendado,0.75,0.1,kg
Conos sabor bacón y queso Hacendado,0.80,0.1,kg
Galletitas saladas Hacendado,1.20,0.35,kg
Cuquis Hacendado,0.70,0.08,kg
Combinado de aperitivos Hacendado,1.55,0.2,kg
Bombitas de maíz sabor mantequilla Hacendado,0.80,0.08,kg
Torreznos sabor barbacoa Hacendado,1.45,0.1,kg
Trigo snack sabor ahumado Hacendado,0.85,0.08,kg
Patatas fritas paja Hacendado,1.50,0.2,kg
Torreznos Hacendado,1.55,0.12,kg
Piña deshidratada Hacendado,1.35,0.05,kg
Cocktail galletitas de aperitivo Hacendado,1.65,0.3,kg
Sticks de patata Hacendado,0.80,0.075,kg
Aros de maíz Hacendado,0.85,0.12,kg
Palomitas caramelo Hacendado,1.50,0.12,kg
Snack de maíz sabor mantequilla Stars Hacendado,0.80,0.08,kg
Snack de maíz Crunchy sabor picante Munchos,1.00,0.1,kg
Cocktail mezcla aperitivos fritos Hacendado,1.00,0.1,kg
Snack de maíz Redes sabor barbacoa Hacendado,0.90,0.1,kg
Sticks vegetales Hacendado,1.20,0.1,kg
Snack frito Rolls sabor chili y lima Hacendado picante,1.00,0.1,kg
Snack Balls sabor queso Hacendado,1.00,0.1,kg
Súper Cuquis,1.00,0.06,kg
Snack de maíz Mini mix Hacendado sabor barbacoa,0.80,0.08,kg
Arroz redondo Hacendado,1.30,1.0,kg
Arroz largo Hacendado,1.35,1.0,kg
Arroz redondo La Fallera,1.69,1.0,kg
Arroz cocido basmati Sabroz,1.15,0.25,kg
Arroz cocido integral Sabroz,1.10,0.25,kg
Arroz bomba Hacendado,5.10,1.0,kg
Quinoa cocida blanca y roja Sabroz,1.40,0.25,kg
Arroz cocido redondo Sabroz,1.10,0.25,kg
Arroz redondo J Sendra Hacendado,1.60,1.0,kg
Arroz basmati aromático Hacendado,2.20,1.0,kg
Cous cous mediano Bia,1.93,1.0,kg
Arroz vaporizado Hacendado,1.65,1.0,kg
Quinoa Hacendado,2.75,0.5,kg
Arroz integral largo Hacendado,1.65,1.0,kg
Arroz redondo Sabor,2.45,1.0,kg
Arroz largo Sabroz,1.10,0.25,kg
